index,is_canceled
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,0
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,1
146,1
147,1
148,0
149,1
150,1
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,0
163,1
164,1
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,0
289,1
290,1
291,0
292,0
293,1
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,0
342,1
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,1
366,1
367,0
368,1
369,1
370,0
371,1
372,1
373,0
374,0
375,1
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,0
384,1
385,0
386,1
387,1
388,0
389,0
390,1
391,0
392,1
393,1
394,1
395,0
396,1
397,1
398,1
399,1
400,0
401,0
402,0
403,1
404,0
405,0
406,1
407,0
408,1
409,0
410,0
411,1
412,0
413,0
414,1
415,0
416,1
417,1
418,1
419,1
420,0
421,1
422,0
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,1
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,0
456,1
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,0
466,1
467,1
468,0
469,0
470,1
471,0
472,1
473,0
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,0
499,1
500,1
501,0
502,1
503,1
504,0
505,0
506,1
507,1
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,1
520,1
521,1
522,0
523,1
524,0
525,1
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,0
542,0
543,0
544,0
545,1
546,0
547,0
548,0
549,1
550,0
551,0
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,0
560,0
561,1
562,0
563,0
564,1
565,1
566,1
567,0
568,1
569,1
570,0
571,0
572,1
573,0
574,1
575,1
576,0
577,1
578,1
579,0
580,1
581,1
582,0
583,1
584,0
585,0
586,1
587,1
588,0
589,1
590,0
591,0
592,1
593,1
594,1
595,1
596,0
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,1
605,0
606,1
607,0
608,0
609,0
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,0
619,0
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,0
628,0
629,1
630,0
631,0
632,1
633,1
634,1
635,1
636,0
637,1
638,0
639,1
640,0
641,1
642,0
643,0
644,0
645,0
646,1
647,0
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,0
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,1
677,0
678,0
679,0
680,1
681,1
682,1
683,1
684,1
685,0
686,1
687,0
688,0
689,1
690,1
691,1
692,0
693,1
694,1
695,1
696,1
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,0
712,1
713,1
714,1
715,1
716,1
717,0
718,1
719,1
720,1
721,0
722,0
723,1
724,1
725,1
726,0
727,0
728,1
729,1
730,1
731,1
732,0
733,0
734,1
735,1
736,1
737,1
738,1
739,0
740,1
741,0
742,0
743,1
744,0
745,1
746,1
747,1
748,1
749,0
750,0
751,1
752,0
753,1
754,0
755,1
756,0
757,0
758,1
759,0
760,0
761,0
762,1
763,1
764,0
765,0
766,0
767,0
768,1
769,0
770,0
771,1
772,1
773,1
774,1
775,0
776,0
777,1
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,1
786,1
787,1
788,0
789,0
790,1
791,1
792,1
793,0
794,0
795,1
796,1
797,1
798,1
799,1
800,0
801,0
802,0
803,1
804,0
805,0
806,1
807,1
808,1
809,1
810,1
811,1
