index,is_canceled
0,0
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,0
111,0
112,1
113,0
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,1
158,1
159,1
160,0
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,0
169,1
170,1
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,1
187,0
188,1
189,0
190,1
191,0
192,0
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,1
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,0
288,0
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,1
297,0
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,0
316,1
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,1
329,1
330,0
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,1
356,0
357,0
358,1
359,1
360,0
361,1
362,0
363,0
364,1
365,1
366,1
367,0
368,1
369,1
370,0
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,0
396,1
397,1
398,0
399,1
400,0
401,0
402,1
403,1
404,0
405,0
406,1
407,0
408,1
409,0
410,0
411,1
412,0
413,0
414,0
415,1
416,1
417,0
418,1
419,1
420,0
421,1
422,0
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,0
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,1
441,0
442,1
443,0
444,1
445,1
446,0
447,0
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,1
458,0
459,0
460,0
461,1
462,1
463,0
464,1
465,0
466,1
467,1
468,1
469,0
470,1
471,0
472,1
473,0
474,0
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,0
499,1
500,0
501,0
502,1
503,0
504,1
505,0
506,0
507,1
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,0
516,0
517,1
518,0
519,0
520,1
521,0
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,1
530,0
531,0
